song,artist,entry_date,exit_date,total_days,peak_position,avg_position,time_to_peak,avg_popularity,album_type,is_explicit,duration_min,total_tracks,stage,duration_bin
La Fiesta,Pedro Capó,2024-05-18,2024-06-27,17,30,44.88,2,74.41,album,False,3.35,10,Decline,3-4 min
La Gata Bajo La Lluvia,Naiara,2025-01-25,2025-01-25,1,46,46.0,0,55.0,single,False,2.74,1,New Entry,2-3 min
La Jumpa,Arcángel,2024-05-18,2024-06-23,37,36,42.03,11,87.0,album,True,4.26,18,Decline,4-5 min
La Rizos [Dime Si Le Comento a la Pura],Las 2K & Chardo Chardemio & Melody Records International,2025-08-25,2025-11-06,69,22,31.17,21,72.32,single,False,3.64,1,Mature,3-4 min
La Torre Picasso,Arde Bogotá,2025-09-15,2025-09-15,1,46,46.0,0,50.0,single,False,8.08,1,New Entry,>5 min
La Vida Sin Ti,Rels B & Lia Kali,2025-04-25,2025-06-29,66,8,24.55,7,77.24,single,False,2.74,1,Peak,2-3 min
La roja baila - Himno oficial de la selección española,Sergio Ramos & Niña Pastori & RedOne,2025-07-15,2025-07-16,2,9,9.0,0,57.0,single,False,3.92,1,New Entry,3-4 min
La_Original.mp3,Emilia,2024-11-04,2025-06-03,202,10,26.59,124,81.18,album,False,2.34,13,Peak,2-3 min
Las Bratz (Remix),Aissa & JC Reyes & Saiko,2024-05-18,2024-05-27,10,44,46.9,2,76.0,single,True,7.41,1,Decline,>5 min
Last Christmas - Single Version,Wham!,2024-12-23,2024-12-27,5,4,19.0,2,89.0,album,False,4.43,16,New Entry,4-5 min
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2024-12-25,2024-12-27,3,15,23.0,0,95.0,album,False,1.95,12,New Entry,<2min
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2024-12-25,2024-12-25,1,33,33.0,0,91.0,album,False,2.59,14,New Entry,2-3 min
Like I Can (feat. Aitana),Sam Smith & Aitana,2025-08-10,2025-08-10,1,42,42.0,0,38.0,single,False,2.78,1,New Entry,2-3 min
Lo Que Tiene,Morad & Beny Jr & Rvfv,2025-03-10,2025-11-23,254,5,25.62,3,77.52,single,False,4.32,1,Peak,4-5 min
Lo que no ves de mí,Juanjo Bona,2025-04-18,2025-04-18,1,38,38.0,0,69.0,single,False,2.4,1,New Entry,2-3 min
Lollipop,Darell,2024-10-02,2025-01-17,105,1,21.7,19,88.93,album,True,3.33,18,Peak,3-4 min
Los del Espacio,LIT killah,2024-06-04,2025-02-16,257,2,21.56,5,88.86,single,False,5.63,1,Peak,>5 min
Los Ángeles,Aitana,2024-05-18,2024-08-05,80,20,34.11,0,82.74,single,False,2.64,1,Mature,2-3 min
Luchas Mentales,Eladio Carrion,2025-01-21,2025-01-21,1,43,43.0,0,66.0,album,False,2.78,17,New Entry,2-3 min
Luna llena,Beny Jr,2025-07-31,2025-11-27,119,4,11.08,75,75.82,album,False,2.83,13,Peak,2-3 min
M.A.I,Milo j,2025-01-17,2025-04-30,100,4,16.32,14,84.83,album,False,3.07,9,Peak,3-4 min
MALA SUERTE,Lola Indigo & DELLAFUENTE,2024-09-03,2024-09-09,7,32,36.43,3,65.0,single,False,3.59,1,New Entry,3-4 min
MAREA,Mora,2024-08-30,2024-08-31,2,24,36.5,0,34.5,album,True,2.47,15,New Entry,2-3 min
MEDIA LUNA,Mora,2024-08-30,2024-09-21,14,5,36.79,0,73.86,album,False,2.25,15,Peak,2-3 min
MEJOR ASÍ,Myke Towers,2025-08-24,2025-08-24,1,37,37.0,0,0.0,album,True,3.66,20,New Entry,3-4 min
MEMORIAS,Mora,2024-05-18,2024-05-27,10,39,42.1,5,82.0,album,False,3.81,15,Decline,3-4 min
MERCEDES CAROTA,Bad Bunny,2024-10-14,2024-10-21,8,17,32.88,0,71.62,album,True,3.38,22,Decline,3-4 min
MERCHO,LiL CaKe & Migrantes,2024-05-18,2024-08-29,104,21,32.19,11,88.66,single,False,2.69,1,Mature,2-3 min
MI DROGA,Myke Towers,2024-05-18,2024-05-20,3,46,48.67,0,80.33,album,True,2.72,23,New Entry,2-3 min
MI EX TENÍA RAZÓN,KAROL G,2024-08-13,2025-07-31,22,16,36.59,0,79.09,album,False,2.57,9,Decline,2-3 min
MIENTRAS ME CURO DEL CORA,KAROL G,2025-07-24,2025-08-02,10,37,44.9,4,81.7,album,False,2.74,17,Decline,2-3 min
MODELITO,Mora,2024-09-09,2025-06-17,279,4,21.72,64,81.7,album,True,3.17,14,Peak,3-4 min
MOJABI GHOST,Tainy,2024-07-02,2024-08-03,33,6,30.94,0,91.09,album,True,3.87,19,Peak,3-4 min
MONACO,Bad Bunny,2024-10-14,2025-01-12,78,1,23.68,0,94.46,album,True,4.45,22,Peak,4-5 min
MR. MOONDIAL,Quevedo,2025-11-24,2025-11-27,4,5,5.5,1,67.0,album,False,2.76,18,New Entry,2-3 min
MR. OCTOBER,Bad Bunny,2024-10-14,2024-10-21,8,7,23.88,0,74.38,album,True,3.15,22,Peak,3-4 min
Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae & Pomme & Arcane,2025-11-27,2025-11-27,1,38,38.0,0,77.0,single,False,2.47,1,New Entry,2-3 min
Madrid City,Ana Mena,2024-09-30,2025-04-15,181,13,27.43,95,76.53,single,False,2.88,1,Mature,2-3 min
Mal de amores,Natos y Waor & Israel B,2025-02-11,2025-02-17,4,29,37.75,4,61.25,single,False,4.25,1,New Entry,4-5 min
Malicia,DELLAFUENTE,2025-06-16,2025-06-21,6,29,42.17,0,42.0,album,False,2.96,10,New Entry,2-3 min
Mama's Boy,Eladio Carrion,2025-01-21,2025-01-21,1,34,34.0,0,66.0,album,False,3.7,17,New Entry,3-4 min
Mamasota,Manuel Turizo & Yandel,2025-03-15,2025-03-15,1,50,50.0,0,78.0,single,False,3.61,1,New Entry,3-4 min
Mami Chula,Jhayco & Quevedo,2024-05-18,2024-09-18,118,6,35.81,0,84.06,single,False,3.68,1,Peak,3-4 min
Mamichula - con Nicki Nicole,Trueno,2025-02-18,2025-04-05,44,7,27.27,14,87.05,album,False,3.65,10,Peak,3-4 min
Manos Rotas,DELLAFUENTE & Morad,2024-11-18,2025-11-23,329,1,23.6,11,77.68,single,False,2.81,1,Peak,2-3 min
Maquillaje,Renn & Yexel,2025-03-21,2025-06-02,65,18,31.65,18,77.51,single,True,3.53,1,Mature,3-4 min
Maquillaje - Remix,refracted arg,2025-04-21,2025-07-14,8,25,32.25,84,54.5,album,False,3.46,7,Decline,3-4 min
Martini,Dei V,2025-05-02,2025-11-23,150,7,32.81,46,70.25,single,True,2.74,1,Peak,2-3 min
Me has invitado a bailar,Dani Fernández,2025-09-04,2025-11-27,85,15,27.46,57,65.59,single,False,3.22,1,Mature,3-4 min
Mencionar,Eladio Carrion,2025-01-21,2025-01-21,1,42,42.0,0,66.0,album,False,2.36,17,New Entry,2-3 min
Mi Cuarto,Tiago PZK & Rels B,2025-10-27,2025-10-27,1,46,46.0,0,58.0,single,False,2.19,1,New Entry,2-3 min
